PARID,AGAPPL,ACRES
"K40000629400000","3071","80"
"K40000632960000","695","77"
"K40000635760000","3129","53.652"
"K40000626200100","1783","17.519"
"F20000336280100","2861","6.868"
"F20000336280300","1942","27.462"
"Q53021194840100","2861","3.896"
"M44000723520200","932","20.001"
"Q53021194840200","1942","0.403"
"M44000699760100","317","31.31"
"M44000716160100","2030","22.808"
"M44000720520300","1837","57.04"
"E18000268240100","1070","128.466"
"O49000797040000","2122","40.422"
"O49000806560200","2123","18.134"
"G25000417480100","397","33.399"
"A02000014240200","1759","37.613"
"G25000417520100","397","21.199"
"L41000656320000","3180","117.638"
"N47000769520200","715","21.073"
"O49000785880100","564","12.642"
"M45000734160200","1896","37.277"
"D17000223840000","2831","5.255"
"A01000005520000","2279","4"
"A05000045680000","1889","0.305"
"A05000045800000","1889","0.153"
"A05000045760000","1889","0.015"
"K40000635320000","2233","2.37"
"P51040503600000","1921","9.73"
"P51040503400000","1921","0.172"
"P51040503480000","1921","0.172"
"P51040503560000","1921","0.172"
"P51040503440000","1921","0.172"
"P51040503520000","1921","0.172"
"F20000336280200","1942","13.657"
"B09000090240100","954","6.63"
"M44000720800301","64","9.447"
"N46000763240100","2251","24.618"
"D17000201880200","915","20.5"
"D17000217720100","1083","23.425"
"M45000735480200","982","78.802"
"I34000530160200","1225","39.373"
"M45000735520200","982","84.807"
"E18000259880000","2568","26.519"
"F20000332000000","1882","52.191"
"G25000405760000","1883","46.31"
"G25000405810000","1883","6"
"A04000034880000","999999","108.285"
"A04000035240000","2160","80"
"I33000506440000","2764","19.11"
"G25000415330000","2737","16"
"I34000553280000","546","38.126"
"I34000553320000","546","40"
"O48000776960000","2725","61.48"
"O48000777000200","2725","71.132"
"O49000789360000","1303","20"
"O49000805200300","1303","43.102"
"O49000805240000","1687","23.422"
"M44000725360000","2195","38.295"
"M44000736560000","561","44.818"
"G25000402360000","253","42.437"
"F20000332440000","2813","141.246"
"N46000759640100","2790","73.157"
"N46000759680000","2790","79.23"
"M44000722560000","103","13.418"
"J37000583360000","816","124.61"
"G25000410880000","2090","15.584"
"G25000410920200","2090","60.4"
"J37000596040000","1770","69.98"
"K40000632760000","3078","100.47"
"O49000800040000","3078","10.27"
"O49000800080000","3078","5.34"
"O50000826880000","3078","0.455"
"O50000826920000","3078","0.31"
"O50000826960000","3078","0.184"
"B09000097800000","2139","129.96"
"M45000735760000","3063","66.661"
"L41000657680000","3058","120"
"A03000028320000","3057","40.464"
"F20000331200000","3052","109"
"B09000093360000","1915","98.293"
"H28000460200100","2024","34"
"C13000130560000","551","26.869"
"B09000101480000","2478","67"
"B09000101520000","2478","76.46"
"B09000101560000","2478","1.2"
"O49000807240000","2603","87.94"
"C13000137560000","1110","69.002"
"C13000137600000","1110","80"
"F20000327880000","1749","11.14"
"C13000134040000","1067","40"
"C13000134080000","1067","25"
"N46000754840000","1221","80"
"A02000018720200","1705","17.914"
"K40000625920000","940","115.77"
"I34000550960000","2479","39"
"B07000063280100","2227","33.317"
"C13000131560400","3164","5.405"
"I34000533520000","2858","23.445"
"L41000647280000","434","36.17"
"E18000259240000","563","105"
"E18000259360000","563","40"
"E18000259400000","563","79"
"D17000215720000","595","139.755"
"E18000260000000","595","76.318"
"E18000260040000","595","40"
"E18000260080000","595","30.5"
"E18000274520000","595","82"
"E18000288400000","595","54.75"
"E18000288440000","595","65.123"
"E18000291560500","595","46.832"
"A01000001520000","94","34.999"
"K40000622560300","999999","30.535"
"C13000131520000","1290","115.984"
"D17000206480000","2545","103.762"
"B07000065640000","1773","49.338"
"B09000089080000","237","69.774"
"B09000089160000","2832","38.491"
"N46000752800000","1454","35"
"G25000400360000","935","41.805"
"G25000400400000","935","36.25"
"A04000034560000","845","72.67"
"O49000791840000","1091","158.419"
"J37000599680000","905","88.01"
"D17000216120000","896","83.287"
"O49000789280000","574","40"
"O49000789320000","574","80"
"A02000018040000","45","127.682"
"M44000700760000","982","40"
"M44000700760100","1275","50"
"M44000713800000","999999","32.55"
"G25000391920000","2176","55.346"
"F20000331600000","2950","15.435"
"I34000548280000","760","30.298"
"I34000548300000","644","38.21"
"I34000548360000","325","28.127"
"G25000399280000","3068","40"
"G25000412960000","3068","80"
"G25000413000000","3068","40"
"N46000758280000","1771","66.362"
"N46000758320000","1771","39.28"
"N46000758360000","1961","119.078"
"K40000632480000","1405","78.078"
"K40000632520000","1405","80"
"K40000632560000","1405","60"
"K40000638360000","2002","76.87"
"K40000638720000","1914","74.921"
"K40000638760000","1914","4.65"
"H28000454960000","1780","18.57"
"G25000409960000","2332","43.793"
"I34000549880000","3094","70.673"
"G25000410000000","2332","10"
"G25000410040000","2332","48"
"J37000577960000","2835","39.29"
"L41000659080000","2346","74.57"
"G25000419200101","2297","17.045"
"D17000231320000","1107","35.861"
"F20000336360000","2359","36.15"
"O49000784040000","209","20"
"O49000784080000","209","81.837"
"E18000281920000","200","30.827"
"D17000245200000","2089","60.747"
"L41000653160000","999999","158.169"
"H29000464920000","1240","18.547"
"H29000465000000","1240","56.671"
"M44000720720000","2860","15.023"
"J37000594480000","1553","159.2"
"J37000594280000","1554","40"
"N46000751800000","683","40.04"
"H26000429480000","1989","120"
"H26000429600000","1117","72.992"
"L41000656880000","224","136"
"A01000007200000","319","28.317"
"O49000787400000","2893","81.28"
"D17000211000100","2773","66.671"
"D17000211040000","2773","35.03"
"H28000455920000","2773","24.8"
"F20000329480000","1876","33.889"
"K40000631640000","1877","59.72"
"K40000631680000","1877","10"
"A01000007240000","319","66"
"K40000631720000","1880","3.04"
"B06000059000000","786","39.92"
"K40000631760000","1877","60.116"
"B09000088520000","786","72.87"
"B09000088560000","786","38.77"
"B09000091880100","2812","7"
"B09000091880200","2812","8"
"K40000624640000","1057","115.48"
"B09000092600000","1785","80"
"K40000631800000","60","38.752"
"J37000576280100","2041","25.363"
"N46000758480100","750","52.516"
"N46000758520100","233","52.516"
"N46000758480200","2480","5.885"
"N46000758520200","2480","46.631"
"N46000756760100","460","46.183"
"L41000656360100","1354","73.404"
"C13000136480000","999999","13.176"
"B09000090040000","982","40"
"E18000292120200","454","20.72"
"K40000626240000","1783","37.87"
"B09000096960000","997","40"
"B09000097000000","997","36"
"A01000006960200","531","57.615"
"N46000763640000","2953","30.127"
"C13000137640000","1110","80"
"O49000801360000","2589","80"
"O49000801480000","2589","17.184"
"M44000700520000","1603","37.401"
"D17000203480000","2786","5.272"
"O49000788680000","735","3.123"
"O49000788720000","735","76.548"
"O49000788760000","735","9.543"
"B08000077720100","1425","36.46"
"B09000094320000","3067","15.875"
"B09000094400000","2387","37.997"
"N46000753640000","1491","77.56"
"N46000753760000","1491","77.43"
"N46000754120000","1491","80"
"K40000634080000","1783","59.709"
"K40000634160000","1783","39.709"
"A02000001800102","776","10.141"
"M44000716840000","2631","20"
"M44000716880000","2631","33.231"
"M44000716880200","2631","4.995"
"M44000726800000","1523","160"
"I34000554080000","2134","37.214"
"H29000468160200","474","63.737"
"A02000011280000","743","78.364"
"H28000454880000","999999","40.126"
"M44000700360000","1143","14.287"
"M44000700480100","1143","14.288"
"G25000393440000","2742","18"
"C13000139440000","1722","45.9"
"C13000139480000","1722","34.1"
"B09000096280000","1478","18"
"N47000772040000","2485","40"
"N46000751360000","2137","37.874"
"B09000096240000","1819","52.791"
"B09000096200000","999999","20.531"
"B10000107800000","999999","34.429"
"M44000719760000","1810","34.86"
"E18000280000000","3039","80"
"N46000761040000","1659","66.981"
"A01000004040000","1659","18.944"
"A01000004760000","1659","16.989"
"L41000657400000","2433","132.979"
"L41000661400000","38","26.297"
"D17000234120000","1974","14.34"
"N46000745840000","594","120"
"O49000789000000","783","32.46"
"I34000551360000","1915","118.891"
"I34000551400000","1495","21.253"
"O49000789040000","783","34.64"
"I34000537520000","2181","78.563"
"I34000537560000","906","40"
"F20000332920000","999999","71.09"
"L41000657760000","2999","80"
"C12000123560000","999999","156.921"
"K40000633560000","2733","67.6"
"O49000800480000","3099","5.165"
"E18000283840000","3054","53.776"
"E18000282080000","2005","97.327"
"F20000327360000","1429","79"
"K40000633680000","2405","60"
"K40000633640000","2007","37.46"
"K40000633720000","2007","40"
"F20000327400000","1429","27.02"
"L41000657920000","2007","98.621"
"L41000657960000","2007","22.38"
"M44000717640000","2009","49.35"
"E18000264280000","999999","19.971"
"O49000794840000","1430","92.025"
"O49000782170000","2021","43"
"O49000782180000","2021","84.384"
"B09000094280000","1179","7.946"
"N46000752080000","261","27.993"
"N46000752120000","261","12.507"
"B09000094240000","1179","119.816"
"N46000762760000","261","4.818"
"N46000762800000","261","31.229"
"O49000802720000","2398","160"
"J37000595760000","2461","64.33"
"J37000595800000","2461","70.391"
"D17000235800000","1452","37.864"
"J37000584680000","3051","78.366"
"I34000551840000","1619","0.459"
"E18000274360000","1453","155.24"
"I34000551880000","1619","0.48"
"E18000274400000","1453","40"
"I34000551960000","1619","0.481"
"I34000552000000","1619","0.459"
"I34000552040000","1619","0.459"
"I34000552080000","1619","0.459"
"E18000272160000","1361","20"
"E18000272200100","2406","19"
"D17000200120000","2539","74.19"
"D17000200160000","478","17.25"
"B09000094000000","1558","65"
"K40000631840000","60","18.45"
"K40000631880000","1880","105.007"
"B09000099160000","2302","76.863"
"K40000631920000","1064","39.2"
"B09000101160000","995","80.132"
"B09000101200000","995","41.943"
"K40000631960100","2228","5.337"
"B10000108240000","2977","74.357"
"C13000128800000","140","17.696"
"C13000128840000","2124","130.028"
"C13000128880000","140","68.481"
"C13000128960000","140","16.496"
"K40000624960000","1064","34.5"
"C13000139600000","1742","50"
"C13000139640000","1742","60"
"K40000625000000","1064","82"
"C13000139800000","999999","11.453"
"C13000139880000","2036","37.225"
"C13000139880100","3164","37.255"
"C13000139920000","527","10.567"
"C13000141160000","1408","62.654"
"F20000329040100","873","56.662"
"C13000141240000","30","18"
"C13000143000000","868","16.042"
"F20000329080000","873","6.449"
"D17000196800400","565","10.666"
"D17000212160000","994","126.26"
"M44000721000000","395","19.5"
"E18000278360000","849","60"
"E18000284240000","2167","35.48"
"E18000284280000","2167","50.894"
"E18000286480000","2819","37.92"
"E18000286520000","868","1.662"
"G24000384200000","2758","68.5"
"E18000292800000","1278","26.877"
"E18000292840000","1997","26.795"
"G25000393000000","999999","13.33"
"G25000416880200","2758","119.016"
"G25000393040000","999999","78.64"
"G25000393600000","288","39"
"G25000416920000","2758","69.115"
"G25000405600000","1372","39.686"
"A02000015240000","1307","63.328"
"G25000415800000","1872","41.12"
"G25000415960000","1872","41.5"
"A02000015280000","231","82.918"
"H26000431400000","999999","40"
"H26000431440000","2872","12.87"
"A01000004800000","1659","39"
"A01000006320000","1659","80.492"
"A01000006360000","1659","117.95"
"N46000765000000","1351","141.54"
"M44000712640000","1638","23.902"
"E18000280240000","1834","25.4"
"E18000280280000","1834","23.35"
"O49000798600000","1841","80"
"D17000212080000","2773","62.656"
"D17000235560000","2773","65.086"
"F20000322120000","2773","136.155"
"H29000466720000","2773","80.394"
"D17000246200000","2773","103.064"
"F20000318640000","2170","82.611"
"A02000018800000","2091","44.743"
"A02000016320000","1307","14.18"
"H28000449120000","2086","74.898"
"K40000624680000","1767","126.183"
"E18000262080300","230","23.516"
"M44000722040000","2029","18.774"
"M44000722080000","2029","34.723"
"J37000595920000","2044","88"
"N46000751240000","1288","75.46"
"G25000409160000","2682","16.846"
"M44000722800000","229","18.485"
"M44000722880000","2340","77.292"
"K40000634160100","2569","24.524"
"A01000005440000","2092","16.02"
"A01000005480000","2279","60"
"A01000005560000","2279","58.1"
"J37000582400000","2739","35.192"
"D17000248440100","1431","3.9"
"E18000285200000","2193","41.544"
"F20000333680000","2216","36.522"
"J37000590800000","2231","94.897"
"A02000022600100","2208","17.587"
"A02000022560000","2261","19.07"
"A02000022960000","2386","27.798"
"A02000015400100","2386","49.221"
"A02000015160000","2386","59.778"
"F20000307120000","450","160"
"L41000653520100","1865","64.106"
"L41000647120400","403","35.552"
"O49000794040000","497","82.389"
"D17000223520000","2786","3.903"
"L42000677320000","1625","41.492"
"L42000680000100","1625","7.14"
"B07000067000300","1197","13.827"
"F20000319720400","2440","9.879"
"F20000307760000","478","130.525"
"O49000807160000","1988","56.384"
"N46000747600000","1043","147.725"
"N46000744920000","2891","139.25"
"O49000806400000","6","39.59"
"O49000806440000","6","57.466"
"G25000405560000","2027","39.546"
"L41000648040000","517","114.999"
"L41000648080000","517","3.2"
"L41000648120000","518","40"
"L41000648160000","999999","2"
"L41000644720000","520","29.322"
"O49000806160000","2348","80"
"O49000806360000","2348","117.8"
"F20000308480000","534","80"
"M44000720800200","267","15.169"
"J37000579880000","999999","78"
"I34000534440000","546","40.471"
"I34000534480000","546","45"
"I34000534520000","546","13.19"
"I34000546600000","546","24.301"
"I34000546600100","546","44.2"
"J37000580000000","1600","78.88"
"J37000591600000","1600","11.35"
"G25000416960000","335","94.894"
"H26000423760200","335","24.068"
"H26000423800000","335","55.94"
"H26000423840000","335","37.37"
"H26000423880000","335","36.362"
"H26000435880000","335","43"
"H28000447640000","335","40.99"
"H28000450960000","335","78.372"
"H28000451000000","335","20"
"N46000757720000","529","40"
"N46000757720100","529","40"
"N46000757760000","529","73.825"
"N46000757880000","529","30"
"D17000202240000","571","44.647"
"C13000130600000","579","120"
"C13000136800000","1290","65.13"
"C13000142240000","68","151.564"
"N47000772160000","509","87.2"
"N47000772200000","509","40"
"O49000787000000","606","50.84"
"O49000787040000","606","91.53"
"I34000537440400","609","14.346"
"B09000086800200","1686","56.161"
"B09000086760000","611","20.031"
"B09000086800000","611","39.199"
"B09000086840000","611","40"
"B09000087280200","611","8.33"
"M45000733560000","675","79"
"B09000086680000","381","95.964"
"H26000432640300","2168","53.099"
"H26000432680000","971","102.29"
"N46000758080000","1899","71.5"
"N46000758120000","1899","48.38"
"H26000432700000","971","19.36"
"H28000447080000","999999","40"
"O49000799880000","1906","80"
"H28000447120000","999999","36.772"
"H28000451880000","956","45.189"
"H28000451960000","956","33.2"
"H28000452000000","956","41.662"
"H28000455040000","1505","128.66"
"H28000456440100","956","36.585"
"H29000466040000","630","58"
"I34000543000000","1762","49.007"
"I34000552800100","2615","12.626"
"I34000556080000","830","107.256"
"J37000581880000","605","31.509"
"J37000581960000","210","28.974"
"J37000582000100","605","42.213"
"J37000585640000","999999","2.984"
"J37000585680000","999999","16.114"
"K40000621320000","3036","80"
"K40000621360000","3036","40"
"K40000621400000","3036","70"
"O49000799840000","2042","53.5"
"K40000623400000","848","78"
"L41000645160000","1920","29.72"
"K40000623440000","848","40"
"D17000227720000","1920","76.227"
"K40000623720000","2233","30.213"
"K40000623800000","1067","28.387"
"I33000511550000","1921","10.661"
"K40000624800000","292","60"
"I33000515510000","1921","14.235"
"K40000628520000","3036","90"
"K40000628560000","3036","25"
"G25000412720000","701","81.16"
"K40000628600000","3036","25"
"G25000412760000","701","20"
"K40000628640000","3036","77.61"
"H28000457360000","13","36.41"
"K40000628680000","3036","122.181"
"K40000628720000","3036","79.2"
"K40000628760000","3036","32.5"
"M45000735520000","331","15.269"
"K40000629520000","3036","80"
"K40000632600000","3036","80.55"
"H28000457680000","701","42.277"
"K40000632600200","2796","80.55"
"H28000457720000","2371","18.97"
"F20000326200200","553","80.604"
"F20000326200300","553","79.486"
"N46000763600300","1699","34.686"
"N46000763600200","40","48.64"
"N46000763600100","835","76.095"
"B09000085880100","237","20.541"
"B09000085880000","1294","28.709"
"B10000106720000","1294","39.97"
"C13000130520000","1953","38.82"
"B10000108640201","3022","10"
"I34000533160500","2672","58.86"
"H28000454080000","2846","32.713"
"K40000627320500","1579","38.447"
"F20000330600000","1947","10.31"
"M45000737000101","3007","19.604"
"N46000745000300","2891","71.87"
"D17000223480000","999999","109.479"
"A02000018720000","612","49.036"
"B09000084240100","1551","50"
"H26000435560000","1215","34.323"
"D17000188400000","445","35.805"
"D17000204280000","627","78"
"D17000204320000","627","152.84"
"D17000209120000","2771","16.26"
"K40000622560000","635","67.229"
"N47000770840000","635","38.17"
"N47000770880000","635","76.17"
"N47000770920000","635","37.64"
"N47000771000000","635","120"
"K39000613560000","509","119.187"
"K40000633960000","509","80"
"K40000622600000","1759","52.839"
"K40000622640000","1759","13.46"
"N47000770200000","1759","12.1"
"N47000770240000","1759","40"
"C13000131240000","642","76.348"
"O49000787600000","642","27.32"
"M44000704360000","650","14.25"
"M44000704400000","650","75.452"
"K40000620720000","663","76.93"
"B09000100480000","664","46"
"B07000065160000","664","66.28"
"B09000087760000","1539","46.53"
"M44000712720000","664","64.227"
"B09000087800000","664","41.81"
"F20000310440000","2295","86.25"
"F20000321880000","2295","37.522"
"F20000309080000","463","159.35"
"F20000309120000","463","27"
"G25000397000000","999999","76.499"
"F20000310760000","2100","80"
"F20000327200000","2100","58.678"
"I34000538120000","2017","39.427"
"D17000218760000","1875","70.789"
"F20000310840000","2275","20.72"
"F20000315240000","2275","35.592"
"B09000088040000","710","26.32"
"B09000088120000","710","76.12"
"I34000535520000","698","19.804"
"L41000652560000","1633","48.015"
"D17000207520000","259","29.43"
"E18000262320000","738","89.883"
"C13000141720000","2124","90"
"C13000141800000","2124","67.6"
"I34000536520100","2011","44.485"
"I34000536520000","674","114.909"
"I34000536320000","1217","100"
"I34000536480000","674","59"
"I34000543920100","674","67"
"I34000543520000","999999","76.385"
"I34000543560000","999999","2.99"
"J37000582480000","769","20.494"
"C13000133480000","938","42.5"
"C13000133520000","938","35.16"
"H29000465120000","17","65.14"
"H29000467320000","17","2.916"
"H29000467920000","17","32.5"
"H29000467320100","17","77.084"
"H29000466360000","17","86.93"
"N46000762600200","74","18.136"
"C13000140120000","794","40"
"C13000141200000","2052","67.906"
"L41000644600000","999999","15.442"
"I34000538600000","587","80"
"L41000654240000","1309","33.48"
"I34000530160000","2045","39.373"
"H28000449600000","583","21.35"
"A01000004560000","1159","14.753"
"B09000097600200","1905","39.55"
"B09000100800000","1822","20.904"
"E18000283580100","1960","45.14"
"E18000283570100","1960","6.103"
"F20000328120301","2950","51.433"
"O49000790920200","1951","120.518"
"E18000267760600","1939","34.645"
"C13000129401100","999999","10.02"
"G25000409200100","693","19.445"
"L41000649720100","292","8.202"
"M44000727600200","1860","20.011"
"F20000304440400","13","106.202"
"D17000236560000","3054","6.985"
"L41000651800000","521","80"
"K40000636880100","1488","64.378"
"A04000033400100","965","77.369"
"A02000014160300","2312","38.443"
"N47000771520200","2366","7.115"
"B07000065480600","1174","5.855"
"N46000762420000","313","46.12"
"I33000936800000","999999","0.169"
"I34000536000200","1346","12.738"
"K39000611800000","2347","129.835"
"B07000069880200","1941","35.548"
"J38000606880300","25","35.378"
"J37000592240100","3065","39.453"
"I34000555240100","2342","50.34"
"G25000419160000","999999","40"
"K40000629280000","1296","80"
"J37000599000200","1436","12.671"
"O49000790560000","2378","9.5"
"O49000797880000","2352","87.45"
"G25000394160101","2515","109.955"
"I34000538160000","846","67.13"
"K40000625840000","1914","40"
"K40000632800000","1970","80"
"H28000456120000","999999","18.15"
"D17000212000000","2265","40"
"M45000735680000","999999","20"
"L41000660680000","3146","11.166"
"M43000694040000","2338","25.73"
"M45000736200000","1808","77.97"
"N46000751120000","969","155.2"
"J37000574320000","999999","12.512"
"O49000804040000","1250","77.997"
"J37000595240000","1369","125.871"
"G25000394760000","13","117.202"
"A02000018880000","1358","54.436"
"G25000401840000","784","20"
"I34000529320000","3139","15.5"
"G25000396160000","151","4.139"
"D17000191520000","2337","50.717"
"A02000021680000","569","21.487"
"A01000002000200","2601","46.27"
"E18000273800000","659","109.21"
"A02000016240000","2614","41.37"
"G25000397360000","1105","52"
"A02000016520200","1740","9.974"
"M44000701320000","1243","51"
"O49000783040000","171","33.51"
"O50000820640000","2573","6.95"
"C13000144960000","1314","20"
"A02000018640000","804","13.989"
"B07000063400000","803","46.76"
"I34000529560000","999999","71.6"
"C13000131680100","1042","13"
"H26000434280000","843","34.765"
"M44000712040000","1592","35"
"K40000634600000","1767","114.755"
"N47000771520000","999999","67.878"
"K40000633160000","1984","39.999"
"I34000545880000","1674","31.95"
"K40000622360000","881","80"
"F20000310640000","668","12"
"J37000588200000","1158","50.402"
"E18000283570000","2104","112.109"
"G25000413960000","1420","48.336"
"D17000190880000","77","80"
"K40000620040000","2570","90"
"C13000131000000","691","39.25"
"I34000531280000","1052","28.567"
"K40000627880000","1542","80"
"D17000199200000","441","109.769"
"E18000273680200","999999","63.983"
"E18000260120000","595","40"
"N46000757120000","1659","3.082"
"B09000099120000","2302","40"
"A02000019760000","1307","100.451"
"F20000316520100","264","9.933"
"B09000090680000","1534","19.3"
"B09000091800000","2967","91.76"
"M44000700920100","807","40"
"G25000395600000","179","9.22"
"N46000757800000","529","30.75"
"L41000651240200","6","70.516"
"N46000759440000","1831","6"
"K40000621600000","2570","80"
"E18000257760000","2972","47.003"
"A01000002240000","2614","1.434"
"N47000769480000","715","26.67"
"D17000216680000","1035","66.18"
"C13000139560000","1599","60"
"B09000099880100","2327","12.15"
"B09000099880201","2327","12"
"G25000397640000","1720","18.494"
"M45000733520000","675","43.9"
"A02000011400000","1497","30.439"
"F20000328120200","1727","24.274"
"D17000231320300","445","34.926"
"D17000231320400","1107","2"
"D17000194121400","262","61.586"
"D17000225360000","2048","13.274"
"L41000651520900","673","27.157"
"A02000017080000","999999","77.28"
"C13000138880000","590","20.064"
"A01000000200000","433","79"
"E18000283570300","1960","12.368"
"I35000563040000","1796","38.988"
"I35000563080000","1796","40"
"K40000626280000","940",""
"D17000216640000","1035","12.834"
"N46000753880000","2526","120"
"A02000023920000","999999","93.5"
"M45000733840200","2033","22"
"M44000699720000","317","24.34"
"A02000015200000","231","73"
"B09000101400000","1936","9.082"
"L41000658840000","1462","28.898"
"G25000402720201","987","36.031"
"G25000413840000","665","7.506"
"L41000654520101","292","44.077"
"I34000555360400","999999",""
"G25000400240100","1438","78.181"
"E18000266040200","595","24.15"
"B09000092080200","1850","21.467"
"G25000401000000","1364","80"
"N47000771960100","999999","74.904"
"F23000353920100","898","5.008"
"M44000704840500","1126","7.762"
"J38000606880000","1543","35.579"
"K40000627400000","1093","71.358"
"B09000088360000","1346","21.193"
"L41000650600400","999999","28.659"
"K40000637160000","1428","38.83"
"I34000536000100","1343","6.194"
"L41000654200200","2245","21.842"
"G25000405280305","2389","0.682"
"M44000706560100","687","39.932"
"N46000749280100","961","17.598"
"M44000723920100","999999","40"
"M45000734680300","1534","103.448"
"M45000735280100","356","96.421"
"I34000533480100","1867","10.2"
"D17000199200500","440","20.651"
"G25000407760400","3038","20.055"
"H29000466240300","458","8.619"
"G25000401800000","784","11.75"
"F20000318520300","309","10.381"
"D17000196800500","1413","11.263"
"B08000077560000","530","80"
"E18000274720100","304","19.093"
"J36000568720100","1829","2.553"
"F20000315040100","2288","56.914"
"K40000627800000","248","187"
"K40000623520200","248","72.02"
"K40000622840200","248","42.47"
"O49000784240000","1308","57.51"
"L41000651240300","6","27.548"
"L41000649440000","617","31.421"
"H29000466240000","1155","7.874"
"L41000656920000","2663","80.413"
"A01000001400000","2793","11.599"
"I34000537000100","2581","28.262"
"I34000548440000","999999","72.539"
"N46000761120000","2274","84"
"O49000808361001","1968","4.022"
"L41000660320000","1093","80"
"L41000646280300","6","88.292"
"H28000446960200","250","3.266"
"K40000627600100","1678","49.138"
"A01000006760000","2654","80"
"B09000095440100","2054","10.93"
"H28000448760000","1195","65.85"
"A02000018080202","1307","42.823"
"O49000802000000","2105","80"
"D17000204160000","626","75.177"
"K40000623360101","71","6.081"
"I34000542560100","999999","2.19"
"G25000392720100","1811","13.588"
"I34000554240300","1790","3.727"
"L41000648880400","927","12.292"
"A02000018080000","612","5.001"
"C13000136040700","535","25.546"
"G25000409200000","2682","58.098"
"O49000784200000","1308","153.04"
"H28000446080000","583","11.28"
"D17000201880000","1123","93.082"
"O49000784160000","977","152.714"
"M44000093750200","2064",""
"O49000786760000","1968","46.37"
"H29000467760100","1035","58.767"
"B09000083880000","287","20"
"F23000374680000","1942","9"
"M44000722640000","3122","28.333"
"O49000795040000","1649","13.57"
"N46000745320200","509","36.221"
"K40000638880000","1589","39.919"
"B09000097440000","2051","33.63"
"O49000807640000","1968","57.25"
"P51041034660100","2317","31.827"
"L41000646120400","940",""
"A04000034600100","84","40.538"
"F20000328120300","2072","51.433"
"L41000658840100","314","84.793"
"L41000657280100","1309","18.297"
"O49000782600100","2369","17.935"
"F20000304880000","162","79"
"B11000117400000","1905","5.01"
"M44000707600000","310","17"
"I34000549520100","999999","3"
"C13000129400700","999999","12.22"
"B11000113120000","2948","13.23"
"I34000556600100","842","1.793"
"I34000555360200","714","14.529"
"M44000701360000","1243","8.5"
"N46000764280400","620","27.051"
"N47000770160000","408","92.445"
"J37000596400300","1320","86.31"
"C13000128640100","1755","53.72"
"N46000762560400","1894","7.967"
"M45000735560400","1096","24.027"
"D17000198920400","1305","5.533"
"I32000498920100","1343","8.212"
"F20000316520200","260","8.216"
"D17000199200400","2344","15.01"
"K40000635000000","456","83.558"
"A04000034600000","480","15.327"
"O49000797440000","640","74.61"
"B09000091480100","424","28.705"
"A02000023080000","2557","47.959"
"C13000129400000","184",""
"N46000758560000","1881","130.134"
"K40000620600200","2731","43.93"
"E18000261320100","2705","31.872"
"L41000647080000","2699","40"
"G25000401600000","411","81.045"
"G25000398440000","411","18.142"
"J38000606840000","2627","32.874"
"J37000583280000","999999","26.279"
"B08000077880000","1470","91.969"
"K40000632400000","1937","75"
"A02000023200200","632",""
"B09000099400000","1000","39.635"
"D17000196800501","565","41.292"
"G25000420100000","1097","7.1"
"I34000543880100","1376","20.958"
"I34000555360300","999999","26.727"
"M44000727440000","999999","131.896"
"M44000709080000","1243","21.9"
"M44000724480101","1198","12.883"
"B09000088320200","1197","7.11"
"B09000096560100","2943","35"
"E18000270080000","722","80"
"O49000792840100","1250","38.842"
"N46000748320000","306","29.993"
"A02000019920100","839","30.963"
"A02000019920200","999999","48.45"
"G25000417760100","355","80.514"
"M44000727240100","2034","4.169"
"H26000428880000","999999","15.68"
"G25000398240000","7","40"
"L41000647680100","1093","38"
"G25000417200300","2413","10.15"
"C13000134240000","1312","20.429"
"C13000144800000","936","34"
"B09000093920000","2217","70.146"
"G25000414960000","999999","53.34"
"A04000035120400","1962","75.746"
"N46000764840100","2955","114.825"
"H27000441760000","860","95.407"
"A02000023600600","231","29.357"
"B08000077720200","144","4"
"H28000450040300","657","2.505"
"M44000727600100","1860","3.948"
"A02000018880100","2074","14.931"
"O49000799960000","1626","80"
"N46000749520100","1709","30.068"
"K40000636920200","248","64.171"
"I35000563800200","1718","20.146"
"I35000563800201","1517","7.14"
"M45000735560500","477","17.378"
"D17000198920300","1305","15.353"
"D17000198920500","1305","30.403"
"D17000198880300","1305","30.403"
"L41000657040200","973","16.653"
"D17000241440000","1791","57.557"
"M44000706040100","865","103.299"
"B07000065480500","1124","49.886"
"B09000088360100","1343","19.525"
"K40000627560201","1093","7.284"
"F20000335400000","1321","44.699"
"K40000623360000","132","54.058"
"C13000134280301","1465","21.12"
"I34000546600200","999999","1.074"
"D17000224682200","823","34.895"
"E18000260560000","1575","102.464"
"H28000456240000","999999","40.41"
"H28000458400000","999999","73.07"
"G25000409600000","999999","53.481"
"G25000412000000","2380","40"
"E18000268280000","2395","49.176"
"H26000427120000","1227","10.03"
"I34000535600000","137","72.66"
"H28000458600000","1041","60"
"K40000633600000","1181","144.71"
"M44000726440000","2340","29.5"
"N46000757840000","529","30"
"J37000578160000","1719","68.003"
"F20000316440000","1205","40"
"G25000412400000","2628","23.829"
"M44000727560000","362","8.913"
"E18000279680000","1648","23.86"
"E18000279440000","1736","110.354"
"B09000096600000","3066","13.123"
"G25000413120000","1764","76.411"
"F20000324280600","1908","7.621"
"D17000237360000","940","51.299"
"G25000389880000","871","1.511"
